-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        aten::remainder         0.01%     903.204us         0.19%      22.288ms     309.554us     410.562us         0.01%     427.362us       5.936us            72  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     410.562us         0.01%     410.562us       5.702us            72  
                                              aten::any         0.00%     563.591us         0.10%      11.606ms     322.387us     382.176us         0.01%     411.360us      11.427us            36  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     382.176us         0.01%     382.176us      10.616us            36  
void at_cuda_detail::cub::DeviceCompactInitKernel<at...         0.00%       0.000us         0.00%       0.000us       0.000us     359.906us         0.01%     359.906us       2.499us           144  
                                               aten::ne         0.01%     674.876us         0.15%      17.600ms     244.449us     327.461us         0.01%     340.994us       4.736us            72  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     327.461us         0.01%     327.461us       4.548us            72  
                                Activity Buffer Request         0.24%      27.511ms         0.24%      27.511ms       2.116ms     305.505us         0.00%     305.505us      23.500us            13  
                                           aten::gather         0.00%      87.451us         0.00%     142.547us      35.637us     177.473us         0.00%     177.473us      44.368us             4  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     177.473us         0.00%     177.473us      44.368us             4  
                                             aten::sort         0.00%     212.729us         4.98%     572.938ms     572.938ms     169.793us         0.00%       1.027ms       1.027ms             1  
                                       aten::bitwise_or         0.00%     314.745us         0.10%      11.464ms     318.440us     163.588us         0.00%     177.028us       4.917us            36  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     163.588us         0.00%     163.588us       4.544us            36  
                                           aten::arange         0.00%     426.635us         0.02%       2.371ms      28.913us     150.338us         0.00%     305.860us       3.730us            82  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     150.338us         0.00%     150.338us       3.667us            41  
                                           Buffer Flush         0.04%       4.264ms         0.04%       4.320ms     308.581us     145.857us         0.00%     145.857us      10.418us            14  
void at_cuda_detail::cub::DeviceRadixSortOnesweepKer...         0.00%       0.000us         0.00%       0.000us       0.000us     124.288us         0.00%     124.288us      15.536us             8  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     112.099us         0.00%     112.099us       3.114us            36  
                              aten::_local_scalar_dense         0.00%     260.719us         0.01%       1.462ms      40.610us      97.856us         0.00%      97.856us       2.718us            36  
                                              aten::cat         0.00%      60.552us         0.00%     268.292us     134.146us      10.240us         0.00%      15.424us       7.712us             2  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      10.240us         0.00%      10.240us       5.120us             2  
void at_cuda_detail::cub::DeviceRadixSortHistogramKe...         0.00%       0.000us         0.00%       0.000us       0.000us       9.600us         0.00%       9.600us       9.600us             1  
void at_cuda_detail::cub::DeviceRadixSortExclusiveSu...         0.00%       0.000us         0.00%       0.000us       0.000us       4.288us         0.00%       4.288us       4.288us             1  
at::native::(anonymous namespace)::fill_reverse_indi...         0.00%       0.000us         0.00%       0.000us       0.000us       4.192us         0.00%       4.192us       4.192us             1  
                execute_context_1(8192)_generation_0(0)         0.59%      68.203ms         6.29%     722.561ms     240.854ms       0.000us         0.00%        1.691s     563.565ms             3  
