-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::matmul         0.62%      67.194ms        16.23%        1.755s      59.622us       0.000us         0.00%        2.918s      99.141us         29435  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.15%      16.738ms         0.15%      16.738ms       1.123us       0.000us         0.00%       0.000us       0.000us         14911  
                                 aten::split_with_sizes         0.33%      35.403ms         0.42%      45.497ms       6.226us       0.000us         0.00%       0.000us       0.000us          7308  
                          vllm::unified_kv_cache_update         2.04%     220.628ms         4.11%     443.979ms      60.752us       0.000us         0.00%      62.452ms       8.546us          7308  
                                           aten::unbind         0.58%      62.534ms         1.33%     144.292ms       9.872us       0.000us         0.00%       0.000us       0.000us         14616  
                                           aten::select         0.58%      62.604ms         0.76%      82.292ms       2.796us       0.000us         0.00%       0.000us       0.000us         29431  
                    vllm::unified_attention_with_output         4.68%     505.912ms        13.91%        1.504s     205.771us       0.000us         0.00%        3.058s     418.412us          7308  
                                 cudaDeviceGetAttribute         0.15%      16.193ms         0.15%      16.193ms       0.448us       0.000us         0.00%       0.000us       0.000us         36108  
                                   cudaFuncSetAttribute         0.11%      12.153ms         0.22%      23.717ms       3.245us       0.000us         0.00%      16.906ms       2.313us          7308  
                                          aten::reshape         0.54%      58.418ms         0.74%      79.988ms       2.772us       0.000us         0.00%       0.000us       0.000us         28859  
                                            aten::alias         0.00%     226.359us         0.00%     226.359us       1.115us       0.000us         0.00%       0.000us       0.000us           203  
                                        cudaMemsetAsync         0.44%      48.105ms         0.47%      50.365ms       6.803us       0.000us         0.00%      88.800us       0.012us          7403  
                                        aten::unsqueeze         0.00%     448.620us         0.01%     569.979us       2.808us       0.000us         0.00%       0.000us       0.000us           203  
                                          cudaHostAlloc         0.00%      86.522us         0.00%      86.522us      28.841us       0.000us         0.00%       0.000us       0.000us             3  
                                         cudaEventQuery         0.01%       1.248ms         0.01%       1.248ms       6.148us       0.000us         0.00%       0.000us       0.000us           203  
                execute_context_1(2716)_generation_0(0)         0.14%      15.173ms         0.32%      34.270ms      34.270ms       0.000us         0.00%     578.780ms     578.780ms             1  
                   execute_context_0(0)_generation_1(1)        20.81%        2.250s        70.26%        7.598s      38.180ms       0.000us         0.00%        2.856s      14.352ms           199  
                                         cuLaunchKernel         1.12%     121.504ms         1.17%     125.993ms       8.794us       0.000us         0.00%      62.784us       0.004us         14328  
                                   aten::_reshape_alias         0.10%      10.506ms         0.10%      10.506ms       0.733us       0.000us         0.00%       0.000us       0.000us         14328  
                   execute_context_0(0)_generation_0(0)         0.00%     483.686us         0.00%     520.306us     260.153us       0.000us         0.00%       0.000us       0.000us             2  
                                  cudaDeviceSynchronize         0.00%      22.622us         0.00%      22.622us      22.622us       0.000us         0.00%       0.000us       0.000us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 10.814s
Self CUDA time total: 6.503s

